np,mode,bandwidth,pattern
1,write,8702.76,fpp
1,read,6632.26,fpp
2,write,11678.52,fpp
2,read,11399.07,fpp
4,write,13543.61,fpp
4,read,12548.52,fpp
6,write,13328.32,fpp
6,read,13333.78,fpp
8,write,13934,fpp
8,read,14504.04,fpp
16,write,13737.82,fpp
16,read,14784.61,fpp
32,read,13157.11,fpp
32,write,11620.61,fpp
64,write,12013.72,fpp
64,read,12972.39,fpp
128,write,12765.92,fpp
128,read,13081.45,fpp
160,write,12845.01,fpp
160,read,13683.32,fpp
1,write,9872.1,ssf
1,read,6750.71,ssf
2,write,10771.71,ssf
2,read,10211.97,ssf
4,write,13417.82,ssf
4,read,12107.58,ssf
6,write,13560.99,ssf
6,read,13371.23,ssf
8,write,13465.24,ssf
8,read,14338.21,ssf 
16,write,13203.08,ssf
16,read,14109.59,ssf 
32,write,12548.81,ssf
32,read,10940.84,ssf 
64,write,12670.03,ssf
64,read,8427.74,ssf
128,write,12655.37,ssf
128,read,7375.69,ssf
160,write,12570.59,ssf
160,read,7212.35,ssf